file,loc,noc,bf,bug,document,topic,topic0,topic1,topic2,topic3,topic4
internal::core::ExternalPackageFragmentRoot ,56,6,5,0,internal core external package fragment root ,4,0,0,0,0,1
internal::compiler::lookup::MethodScope ,378,88,24,1,internal compiler lookup method scope ,0,1,0,0,0,0
internal::compiler::CompilationResult ,245,80,22,1,internal compiler compilation result ,2,0,0,1,0,0
internal::core::util::KeyToSignature ,258,31,18,0,internal core util key to signature ,1,0,1,0,0,0
internal::core::jdom::DOMType ,419,57,11,0,internal core jdom type ,2,0,0,1,0,0
internal::compiler::ast::ForStatement ,343,85,18,0,internal compiler ast for statement ,0,1,0,0,0,0
internal::compiler::lookup::MissingTypeBinding ,34,1,1,0,internal compiler lookup missing type binding ,0,1,0,0,0,0
internal::compiler::ast::TrueLiteral ,39,23,2,0,internal compiler ast true literal ,0,1,0,0,0,0
internal::codeassist::complete::CompletionOnKeyword3 ,21,10,2,0,internal codeassist complete completion on keyword ,3,0,0,0,1,0
internal::formatter::FormatJavadocText ,197,6,7,0,internal formatter format javadoc text ,4,0,0,0,0,1
internal::core::ImportDeclarationElementInfo ,0,9,3,0,internal core import declaration element info ,4,0,0,0,0,1
internal::formatter::comment::SubstitutionTextReader ,81,6,4,0,internal formatter comment substitution text reader ,4,0,0,0,0,1
internal::compiler::ast::NormalAnnotation ,45,17,2,0,internal compiler ast normal annotation ,0,1,0,0,0,0
internal::compiler::lookup::SourceTypeBinding ,1461,223,74,6,internal compiler lookup source type binding ,0,1,0,0,0,0
internal::core::SetContainerOperation ,167,9,5,0,internal core set container operation ,1,0,1,0,0,0
internal::compiler::lookup::AnnotationBinding ,151,11,4,0,internal compiler lookup annotation binding ,0,1,0,0,0,0
internal::core::LRUCacheEnumerator ,11,14,0,0,internal core cache enumerator ,2,0,0,1,0,0
internal::core::JavaModelInfo ,27,26,2,0,internal core java model info ,2,0,0,1,0,0
core::dom::MethodDeclaration ,319,72,15,0,core dom method declaration ,1,0,1,0,0,0
internal::core::search::matching::AndPattern ,50,49,4,1,internal core search matching and pattern ,4,0,0,0,0,1
internal::eval::CodeSnippetSuperReference ,25,25,1,0,internal eval code snippet super reference ,3,0,0,0,1,0
internal::core::search::matching::OrPattern ,69,59,6,1,internal core search matching or pattern ,4,0,0,0,0,1
internal::core::util::HashSetOfArray ,109,2,1,0,internal core util hash set of array ,1,0,1,0,0,0
internal::core::util::ClassFileStruct ,85,13,0,0,internal core util class file struct ,1,0,1,0,0,0
internal::codeassist::select::SelectionOnSingleTypeReference ,35,36,3,0,internal codeassist select selection on single type reference ,0,1,0,0,0,0
internal::compiler::env::AccessRuleSet ,62,15,9,0,internal compiler env access rule set ,0,1,0,0,0,0
internal::core::search::indexing::IndexAllProject ,207,109,10,0,internal core search indexing index all project ,4,0,0,0,0,1
internal::compiler::codegen::ObjectCache ,83,30,1,0,internal compiler codegen object cache ,0,1,0,0,0,0
internal::core::util::ClassFileAttribute ,18,9,0,0,internal core util class file attribute ,1,0,1,0,0,0
internal::compiler::ast::ForeachStatement ,451,83,24,2,internal compiler ast foreach statement ,0,1,0,0,0,0
core::dom::NodeEventHandler ,43,13,2,0,core dom node event handler ,1,0,1,0,0,0
internal::eval::CodeSnippetClassFile ,166,60,12,1,internal eval code snippet class file ,3,0,0,0,1,0
internal::compiler::flow::FinallyFlowContext ,264,35,8,0,internal compiler flow finally flow context ,2,0,0,1,0,0
internal::compiler::SourceJavadocParser ,107,12,6,0,internal compiler source javadoc parser ,0,1,0,0,0,0
internal::compiler::lookup::UnresolvedReferenceBinding ,64,49,7,0,internal compiler lookup unresolved reference binding ,0,1,0,0,0,0
internal::core::CreateImportOperation ,83,48,8,0,internal core create import operation ,4,0,0,0,0,1
internal::core::builder::ReferenceCollection ,140,27,6,1,internal core builder reference collection ,2,0,0,1,0,0
internal::compiler::ast::InstanceOfExpression ,70,73,13,1,internal compiler ast instance of expression ,0,1,0,0,0,0
core::dom::NodeSearcher ,11,8,1,0,core dom node searcher ,1,0,1,0,0,0
internal::core::util::AnnotationComponent ,27,5,0,0,internal core util annotation component ,4,0,0,0,0,1
core::dom::BreakStatement ,59,33,6,0,core dom break statement ,1,0,1,0,0,0
internal::core::ASTHolderCUInfo ,0,12,4,0,internal core holder info ,4,0,0,0,0,1
internal::codeassist::complete::CompletionOnMethodReturnType ,12,10,1,0,internal codeassist complete completion on method return type ,3,0,0,0,1,0
internal::compiler::ast::ImportReference ,35,43,2,0,internal compiler ast import reference ,0,1,0,0,0,0
internal::core::builder::ClasspathJar ,108,40,7,0,internal core builder classpath jar ,2,0,0,1,0,0
internal::eval::VariablesInfo ,25,17,1,0,internal eval variables info ,2,0,0,1,0,0
internal::core::DeleteResourceElementsOperation ,90,51,10,0,internal core delete resource elements operation ,4,0,0,0,0,1
internal::core::InternalNamingConventions ,377,23,9,2,internal core internal naming conventions ,2,0,0,1,0,0
internal::core::search::IndexQueryRequestor ,0,8,1,0,internal core search index query requestor ,4,0,0,0,0,1
internal::compiler::flow::SwitchFlowContext ,23,41,5,0,internal compiler flow switch flow context ,2,0,0,1,0,0
core::dom::LineComment ,31,18,3,0,core dom line comment ,4,0,0,0,0,1
internal::compiler::ast::JavadocSingleNameReference ,30,16,10,0,internal compiler ast javadoc single name reference ,0,1,0,0,0,0
internal::compiler::ast::SubRoutineStatement ,31,18,10,0,internal compiler ast sub routine statement ,0,1,0,0,0,0
internal::compiler::ProcessTaskManager ,140,6,3,0,internal compiler process task manager ,0,1,0,0,0,0
core::dom::SwitchStatement ,86,38,9,0,core dom switch statement ,1,0,1,0,0,0
internal::core::search::matching::SuperTypeReferenceLocator ,67,21,4,1,internal core search matching super type reference locator ,4,0,0,0,0,1
internal::core::SourceMethod ,222,83,17,0,internal core source method ,4,0,0,0,0,1
internal::core::hierarchy::IndexBasedHierarchyBuilder ,423,131,33,0,internal core hierarchy index based hierarchy builder ,2,0,0,1,0,0
internal::core::util::CommentRecorderScanner ,10,7,0,1,internal core util comment recorder scanner ,4,0,0,0,0,1
internal::core::util::StackMapAttribute ,33,4,1,0,internal core util stack map attribute ,1,0,1,0,0,0
core::dom::SuperMethodInvocation ,136,44,11,0,core dom super method invocation ,1,0,1,0,0,0
internal::codeassist::complete::CompletionOnExplicitConstructorCall ,41,27,0,0,internal codeassist complete completion on explicit constructor call ,3,0,0,0,1,0
internal::formatter::old::CodeFormatter ,131,18,5,0,internal formatter old code formatter ,1,0,1,0,0,0
internal::compiler::lookup::CaptureBinding ,210,32,20,0,internal compiler lookup capture binding ,0,1,0,0,0,0
internal::compiler::lookup::ParameterizedMethodBinding ,34,48,14,0,internal compiler lookup parameterized method binding ,0,1,0,0,0,0
internal::compiler::ast::FieldDeclaration ,241,120,41,0,internal compiler ast field declaration ,0,1,0,0,0,0
internal::compiler::lookup::InferenceContext ,116,4,2,0,internal compiler lookup inference context ,0,1,0,0,0,0
core::dom::AssertStatement ,98,37,8,0,core dom assert statement ,1,0,1,0,0,0
internal::core::search::matching::PackageDeclarationPattern ,17,48,2,1,internal core search matching package declaration pattern ,4,0,0,0,0,1
core::dom::InternalASTRewrite ,163,14,3,0,core dom internal rewrite ,1,0,1,0,0,0
internal::compiler::classfmt::ClassFileReader ,724,110,27,0,internal compiler classfmt class file reader ,0,1,0,0,0,0
internal::core::search::JavaSearchParticipant ,46,20,3,0,internal core search java search participant ,4,0,0,0,0,1
internal::core::ImportContainer ,63,43,8,0,internal core import container ,1,0,1,0,0,0
core::dom::TypeParameter ,91,35,5,0,core dom type parameter ,4,0,0,0,0,1
internal::compiler::env::NameEnvironmentAnswer ,34,29,2,0,internal compiler env name environment answer ,0,1,0,0,0,0
core::CompletionContext ,123,17,14,1,core completion context ,2,0,0,1,0,0
internal::core::index::EntryResult ,56,18,2,0,internal core index entry result ,4,0,0,0,0,1
internal::compiler::problem::AbortCompilation ,14,25,8,0,internal compiler problem abort compilation ,0,1,0,0,0,0
core::dom::SynchronizedStatement ,106,37,8,0,core dom synchronized statement ,1,0,1,0,0,0
core::dom::DefaultCommentMapper ,393,44,24,0,core dom default comment mapper ,1,0,1,0,0,0
internal::core::util::EnclosingMethodAttribute ,50,8,0,0,internal core util enclosing method attribute ,1,0,1,0,0,0
internal::compiler::ast::ArrayInitializer ,195,71,17,0,internal compiler ast array initializer ,0,1,0,0,0,0
internal::codeassist::complete::CompletionOnMemberValueName ,9,0,0,0,internal codeassist complete completion on member value name ,3,0,0,0,1,0
internal::compiler::impl::ShortConstant ,37,34,1,0,internal compiler impl short constant ,0,1,0,0,0,0
internal::core::search::matching::OrLocator ,124,26,8,0,internal core search matching or locator ,4,0,0,0,0,1
internal::core::OpenableElementInfo ,6,16,1,0,internal core openable element info ,2,0,0,1,0,0
internal::compiler::ast::IntLiteralMinValue ,7,15,0,0,internal compiler ast int literal min value ,0,1,0,0,0,0
internal::core::search::matching::AndLocator ,74,2,2,0,internal core search matching and locator ,4,0,0,0,0,1
internal::compiler::codegen::CharArrayCache ,118,33,4,0,internal compiler codegen char array cache ,0,1,0,0,0,0
internal::core::search::matching::MethodLocator ,526,106,57,3,internal core search matching method locator ,4,0,0,0,0,1
core::BufferChangedEvent ,18,21,0,0,core buffer changed event ,1,0,1,0,0,0
internal::core::NullBuffer ,3,1,1,0,internal core null buffer ,1,0,1,0,0,0
core::dom::ReturnStatement ,60,33,6,0,core dom return statement ,1,0,1,0,0,0
internal::core::CopyPackageFragmentRootOperation ,223,34,12,1,internal core copy package fragment root operation ,4,0,0,0,0,1
internal::core::MultiOperation ,165,27,3,0,internal core multi operation ,4,0,0,0,0,1
internal::core::ProjectReferenceChange ,77,7,3,1,internal core project reference change ,2,0,0,1,0,0
internal::compiler::ast::QualifiedSuperReference ,38,37,3,1,internal compiler ast qualified super reference ,0,1,0,0,0,0
internal::core::search::processing::JobManager ,383,115,16,0,internal core search processing job manager ,2,0,0,1,0,0
internal::core::search::matching::MemberDeclarationVisitor ,142,0,1,0,internal core search matching member declaration visitor ,4,0,0,0,0,1
core::dom::SimpleName ,124,57,13,0,core dom simple name ,1,0,1,0,0,0
internal::eval::CodeSnippetToCuMapper ,233,75,17,0,internal eval code snippet to cu mapper ,3,0,0,0,1,0
internal::core::builder::JavaBuilder ,661,166,31,0,internal core builder java builder ,2,0,0,1,0,0
core::dom::AnnotationTypeDeclaration ,98,26,6,0,core dom annotation type declaration ,4,0,0,0,0,1
internal::compiler::util::SimpleNameVector ,64,28,1,0,internal compiler util simple name vector ,1,0,1,0,0,0
internal::core::SearchableEnvironment ,144,89,27,1,internal core searchable environment ,4,0,0,0,0,1
core::dom::LabeledStatement ,107,37,9,0,core dom labeled statement ,1,0,1,0,0,0
internal::core::search::AbstractSearchScope ,12,20,1,0,internal core search abstract search scope ,4,0,0,0,0,1
internal::core::hierarchy::HierarchyBuilder ,242,81,12,0,internal core hierarchy hierarchy builder ,2,0,0,1,0,0
internal::compiler::ast::Argument ,132,79,13,0,internal compiler ast argument ,0,1,0,0,0,0
internal::codeassist::MissingTypesGuesser ,186,3,3,0,internal codeassist missing types guesser ,4,0,0,0,0,1
internal::core::util::JavaElementFinder ,89,0,1,0,internal core util java element finder ,2,0,0,1,0,0
internal::compiler::flow::ConditionalFlowInfo ,145,32,4,0,internal compiler flow conditional flow info ,2,0,0,1,0,0
internal::core::search::JavaWorkspaceScope ,155,46,8,0,internal core search java workspace scope ,2,0,0,1,0,0
internal::core::MoveResourceElementsOperation ,9,27,2,0,internal core move resource elements operation ,4,0,0,0,0,1
internal::core::BatchInitializationMonitor ,55,0,1,0,internal core batch initialization monitor ,2,0,0,1,0,0
internal::compiler::util::Util ,513,86,25,1,internal compiler util util ,1,0,1,0,0,0
internal::core::CancelableProblemFactory ,9,6,6,0,internal core cancelable problem factory ,0,1,0,0,0,0
internal::core::LocalVariable ,222,34,13,1,internal core local variable ,2,0,0,1,0,0
internal::compiler::ast::MethodDeclaration ,198,83,17,2,internal compiler ast method declaration ,0,1,0,0,0,0
internal::core::ResolvedBinaryType ,26,7,2,0,internal core resolved binary type ,1,0,1,0,0,0
internal::compiler::lookup::InnerEmulationDependency ,4,16,0,0,internal compiler lookup inner emulation dependency ,0,1,0,0,0,0
internal::core::CreateTypeOperation ,62,40,7,0,internal core create type operation ,4,0,0,0,0,1
internal::core::hierarchy::RegionBasedHierarchyBuilder ,156,36,7,0,internal core hierarchy region based hierarchy builder ,2,0,0,1,0,0
internal::core::util::PublicScanner ,3449,134,43,0,internal core util public scanner ,1,0,1,0,0,0
internal::compiler::ast::Block ,97,50,5,0,internal compiler ast block ,0,1,0,0,0,0
internal::core::search::matching::MatchLocator ,1531,380,135,5,internal core search matching match locator ,4,0,0,0,0,1
internal::compiler::ast::ExplicitConstructorCall ,364,84,21,1,internal compiler ast explicit constructor call ,4,0,0,0,0,1
core::dom::SimpleType ,72,41,9,0,core dom simple type ,1,0,1,0,0,0
internal::core::dom::rewrite::ASTRewriteFormatter ,258,33,8,0,internal core dom rewrite rewrite formatter ,1,0,1,0,0,0
internal::core::builder::ProblemFactory ,9,11,0,0,internal core builder problem factory ,2,0,0,1,0,0
internal::core::ExternalFolderChange ,27,2,2,0,internal core external folder change ,2,0,0,1,0,0
internal::compiler::ClassFilePool ,30,4,0,0,internal compiler class file pool ,0,1,0,0,0,0
internal::core::hierarchy::HierarchyType ,17,13,0,0,internal core hierarchy hierarchy type ,2,0,0,1,0,0
internal::compiler::batch::Main ,2557,396,117,2,internal compiler batch main ,0,1,0,0,0,0
internal::compiler::ast::CombinedBinaryExpression ,266,3,4,0,internal compiler ast combined binary expression ,0,1,0,0,0,0
internal::core::util::RuntimeInvisibleAnnotationsAttribute ,22,6,0,0,internal core util runtime invisible annotations attribute ,4,0,0,0,0,1
internal::antadapter::AntAdapterMessages ,12,6,1,0,internal antadapter ant adapter messages ,3,0,0,0,1,0
internal::core::search::indexing::SaveIndex ,30,20,0,0,internal core search indexing save index ,4,0,0,0,0,1
internal::core::JavaModel ,235,111,28,1,internal core java model ,2,0,0,1,0,0
internal::compiler::lookup::FieldBinding ,251,70,16,3,internal compiler lookup field binding ,0,1,0,0,0,0
internal::compiler::lookup::ParameterizedFieldBinding ,24,18,5,0,internal compiler lookup parameterized field binding ,0,1,0,0,0,0
internal::codeassist::complete::CompletionOnPackageReference ,12,27,0,0,internal codeassist complete completion on package reference ,3,0,0,0,1,0
internal::codeassist::select::SelectionOnFieldType ,10,11,1,0,internal codeassist select selection on field type ,0,1,0,0,0,0
internal::compiler::lookup::ProblemBinding ,13,15,1,0,internal compiler lookup problem binding ,0,1,0,0,0,0
internal::core::CreateTypeHierarchyOperation ,35,20,1,0,internal core create type hierarchy operation ,4,0,0,0,0,1
core::search::MethodReferenceMatch ,13,34,9,1,core search method reference match ,4,0,0,0,0,1
internal::eval::CodeSnippetQualifiedNameReference ,551,72,9,2,internal eval code snippet qualified name reference ,3,0,0,0,1,0
internal::codeassist::complete::CompletionJavadocParser ,768,32,26,0,internal codeassist complete completion javadoc parser ,3,0,0,0,1,0
core::dom::EmptyStatement ,29,29,5,0,core dom empty statement ,1,0,1,0,0,0
core::dom::SimplePropertyDescriptor ,14,8,1,0,core dom simple property descriptor ,1,0,1,0,0,0
internal::core::SourceRange ,28,25,1,0,internal core source range ,4,0,0,0,0,1
internal::core::BinaryType ,698,182,45,1,internal core binary type ,1,0,1,0,0,0
core::search::TypeParameterDeclarationMatch ,3,2,1,0,core search type parameter declaration match ,4,0,0,0,0,1
internal::core::util::LocalVariableTypeAttribute ,21,7,0,0,internal core util local variable type attribute ,1,0,1,0,0,0
core::util::ByteCodeVisitorAdapter ,612,10,0,1,core util byte code visitor adapter ,1,0,1,0,0,0
internal::compiler::ast::ThisReference ,78,43,3,0,internal compiler ast this reference ,0,1,0,0,0,0
internal::compiler::Compiler ,407,139,32,1,internal compiler compiler ,0,1,0,0,0,0
internal::compiler::flow::FlowContext ,379,71,17,2,internal compiler flow flow context ,2,0,0,1,0,0
internal::codeassist::complete::CompletionOnQualifiedNameReference ,36,34,5,0,internal codeassist complete completion on qualified name reference ,3,0,0,0,1,0
internal::core::DeletePackageFragmentRootOperation ,120,20,3,0,internal core delete package fragment root operation ,4,0,0,0,0,1
internal::compiler::ast::BreakStatement ,72,12,6,0,internal compiler ast break statement ,0,1,0,0,0,0
internal::formatter::FormatJavadocBlock ,238,6,8,0,internal formatter format javadoc block ,4,0,0,0,0,1
internal::compiler::classfmt::FieldInfo ,305,65,11,0,internal compiler classfmt field info ,0,1,0,0,0,0
internal::codeassist::select::SelectionJavadoc ,80,5,3,0,internal codeassist select selection javadoc ,0,1,0,0,0,0
internal::core::util::LineNumberAttribute ,23,13,0,0,internal core util line number attribute ,1,0,1,0,0,0
internal::core::PackageFragmentRootInfo ,110,52,11,0,internal core package fragment root info ,4,0,0,0,0,1
internal::core::dom::rewrite::ASTRewriteFlattener ,92,23,8,0,internal core dom rewrite rewrite flattener ,1,0,1,0,0,0
core::dom::ForStatement ,117,44,11,0,core dom for statement ,1,0,1,0,0,0
internal::compiler::parser::diagnose::DiagnoseParser ,2262,42,10,0,internal compiler parser diagnose diagnose parser ,0,1,0,0,0,0
core::dom::ASTNode ,657,111,26,0,core dom node ,1,0,1,0,0,0
internal::codeassist::InternalCompletionContext ,48,12,12,1,internal codeassist internal completion context ,3,0,0,0,1,0
internal::compiler::ast::IfStatement ,192,77,15,0,internal compiler ast if statement ,0,1,0,0,0,0
core::dom::CharacterLiteral ,220,48,9,1,core dom character literal ,1,0,1,0,0,0
internal::compiler::lookup::SignatureWrapper ,47,8,0,0,internal compiler lookup signature wrapper ,0,1,0,0,0,0
internal::compiler::DefaultErrorHandlingPolicies ,40,17,0,0,internal compiler default error handling policies ,4,0,0,0,0,1
internal::core::search::BasicSearchEngine ,712,64,41,1,internal core search basic search engine ,4,0,0,0,0,1
internal::compiler::batch::FileFinder ,23,30,2,0,internal compiler batch file finder ,0,1,0,0,0,0
internal::formatter::comment::MultiCommentRegion ,121,6,4,0,internal formatter comment multi comment region ,4,0,0,0,0,1
internal::eval::CodeSnippetCompiler ,24,34,3,0,internal eval code snippet compiler ,3,0,0,0,1,0
core::dom::Message ,27,10,2,0,core dom message ,1,0,1,0,0,0
internal::compiler::ast::SingleNameReference ,787,149,40,6,internal compiler ast single name reference ,0,1,0,0,0,0
internal::core::Openable ,327,139,22,0,internal core openable ,1,0,1,0,0,0
internal::compiler::lookup::ProblemMethodBinding ,8,22,2,0,internal compiler lookup problem method binding ,0,1,0,0,0,0
internal::codeassist::impl::AssistInitializer ,13,0,1,0,internal codeassist impl assist initializer ,0,1,0,0,0,0
internal::formatter::comment::SingleCommentLine ,48,2,1,0,internal formatter comment single comment line ,4,0,0,0,0,1
internal::compiler::codegen::DoubleCache ,88,29,1,0,internal compiler codegen double cache ,0,1,0,0,0,0
internal::core::util::LRUCache ,276,35,2,0,internal core util cache ,2,0,0,1,0,0
internal::core::search::matching::DeclarationOfReferencedTypesPattern ,7,32,5,1,internal core search matching declaration of referenced types pattern ,4,0,0,0,0,1
internal::compiler::util::SimpleLookupTable ,127,6,2,0,internal compiler util simple lookup table ,0,1,0,0,0,0
internal::compiler::lookup::ProblemReferenceBinding ,48,30,2,0,internal compiler lookup problem reference binding ,0,1,0,0,0,0
internal::core::NamedMember ,178,21,8,0,internal core named member ,1,0,1,0,0,0
internal::core::JarPackageFragmentRootInfo ,4,16,2,0,internal core jar package fragment root info ,4,0,0,0,0,1
core::dom::ASTParser ,426,105,38,1,core dom parser ,1,0,1,0,0,0
internal::core::SourceMethodInfo ,12,3,0,0,internal core source method info ,4,0,0,0,0,1
internal::core::JavaElementInfo ,47,24,3,0,internal core java element info ,2,0,0,1,0,0
internal::core::dom::rewrite::NodeRewriteEvent ,59,8,1,0,internal core dom rewrite node rewrite event ,1,0,1,0,0,0
internal::compiler::ast::AND_AND_Expression ,230,51,12,0,internal compiler ast expression ,0,1,0,0,0,0
internal::core::search::indexing::SourceIndexer ,35,57,10,1,internal core search indexing source indexer ,4,0,0,0,0,1
core::dom::ThisExpression ,59,37,8,0,core dom this expression ,1,0,1,0,0,0
internal::core::builder::SourceFile ,68,38,5,0,internal core builder source file ,4,0,0,0,0,1
core::ElementChangedEvent ,10,29,0,0,core element changed event ,1,0,1,0,0,0
internal::formatter::FormatterCommentParser ,495,12,17,5,internal formatter formatter comment parser ,4,0,0,0,0,1
core::dom::StructuralPropertyDescriptor ,44,8,1,0,core dom structural property descriptor ,1,0,1,0,0,0
internal::compiler::lookup::BlockScope ,546,142,30,1,internal compiler lookup block scope ,0,1,0,0,0,0
internal::compiler::lookup::LookupEnvironment ,1069,155,44,3,internal compiler lookup lookup environment ,0,1,0,0,0,0
core::dom::BodyDeclaration ,74,39,6,0,core dom body declaration ,1,0,1,0,0,0
core::dom::ConditionalExpression ,141,35,8,0,core dom conditional expression ,1,0,1,0,0,0
internal::compiler::lookup::LocalVariableBinding ,177,53,8,0,internal compiler lookup local variable binding ,0,1,0,0,0,0
internal::core::JavaModelOperation ,528,89,29,0,internal core java model operation ,2,0,0,1,0,0
internal::core::CopyResourceElementsOperation ,516,130,26,1,internal core copy resource elements operation ,4,0,0,0,0,1
core::dom::VariableDeclarationFragment ,127,42,10,0,core dom variable declaration fragment ,1,0,1,0,0,0
internal::compiler::codegen::CaseLabel ,46,26,3,0,internal compiler codegen case label ,0,1,0,0,0,0
internal::core::DeleteElementsOperation ,102,59,12,0,internal core delete elements operation ,4,0,0,0,0,1
internal::codeassist::select::SelectionOnMessageSend ,65,42,2,0,internal codeassist select selection on message send ,3,0,0,0,1,0
internal::compiler::lookup::PackageBinding ,136,58,7,4,internal compiler lookup package binding ,0,1,0,0,0,0
internal::core::search::TypeNameMatchRequestorWrapper ,121,10,8,0,internal core search type name match requestor wrapper ,4,0,0,0,0,1
core::dom::TagElement ,70,30,9,0,core dom tag element ,1,0,1,0,0,0
core::dom::CompilationUnit ,344,119,38,0,core dom compilation unit ,2,0,0,1,0,0
core::dom::ExpressionStatement ,72,37,8,0,core dom expression statement ,1,0,1,0,0,0
internal::core::search::matching::PossibleMatch ,112,37,13,0,internal core search matching possible match ,4,0,0,0,0,1
internal::compiler::lookup::ArrayBinding ,190,80,16,0,internal compiler lookup array binding ,0,1,0,0,0,0
core::formatter::DefaultCodeFormatterConstants ,177,118,62,2,core formatter default code formatter constants ,1,0,1,0,0,0
internal::compiler::ast::JavadocArgumentExpression ,66,36,15,0,internal compiler ast javadoc argument expression ,0,1,0,0,0,0
internal::core::jdom::DOMField ,328,41,4,0,internal core jdom field ,2,0,0,1,0,0
internal::compiler::util::HashtableOfObjectToInt ,117,6,1,0,internal compiler util hashtable of object to int ,3,0,0,0,1,0
core::util::ClassFileBytesDisassembler ,0,10,2,0,core util class file bytes disassembler ,1,0,1,0,0,0
internal::codeassist::complete::CompletionParser ,4390,243,102,1,internal codeassist complete completion parser ,3,0,0,0,1,0
internal::core::search::matching::LocalVariableLocator ,65,28,6,1,internal core search matching local variable locator ,4,0,0,0,0,1
core::dom::PrimitiveType ,59,33,7,0,core dom primitive type ,1,0,1,0,0,0
internal::compiler::impl::DoubleConstant ,39,36,1,0,internal compiler impl double constant ,0,1,0,0,0,0
internal::eval::CodeSnippetEnvironment ,17,19,1,0,internal eval code snippet environment ,3,0,0,0,1,0
internal::core::jdom::DOMNode ,482,37,4,0,internal core jdom node ,2,0,0,1,0,0
internal::core::JarEntryResource ,57,1,2,0,internal core jar entry resource ,4,0,0,0,0,1
internal::compiler::ast::LongLiteralMinValue ,7,17,0,0,internal compiler ast long literal min value ,0,1,0,0,0,0
internal::eval::VariablesEvaluator ,255,45,4,0,internal eval variables evaluator ,3,0,0,0,1,0
core::dom::FieldAccess ,109,41,10,0,core dom field access ,1,0,1,0,0,0
internal::compiler::batch::ClasspathSourceJar ,7,5,2,0,internal compiler batch classpath source jar ,0,1,0,0,0,0
